STATE CLIMATE OFFICE OF NORTH CAROLINA,
NC STATE UNIVERSITY,
CRONOS Database,
Station ID: LAKE     Station type: ECONET      Station name: Lake Wheeler Rd Field Lab,
"City, State: Raleigh, NC      County: Wake County",
Latitude: 35.72816     Longitude: -78.67981,
Elevation: 382 feet above sea level,
Climate division: NC04 - Central Piedmont,
Supported by: NC Agricultural Research Service,
Data retrieval from LAKE - Lake Wheeler Rd Field Lab for 2010-01-01   thru   2010-01-30 (30 days),
"43,920 records for this period of record (6100% data available; -43,200 missing records)",
,
,
Date/Time (EST),2m Air Temperature (F)
1/1/2010 0:00,44
1/1/2010 0:00,44
1/1/2010 0:01,44.2
1/1/2010 0:02,44
1/1/2010 0:03,44
1/1/2010 0:04,44
1/1/2010 0:05,44
1/1/2010 0:06,44
1/1/2010 0:07,44
1/1/2010 0:08,44.1
1/1/2010 0:09,44
1/1/2010 0:10,43.9
1/1/2010 0:11,44
1/1/2010 0:12,43.9
1/1/2010 0:13,43.9
1/1/2010 0:14,43.9
1/1/2010 0:15,44
1/1/2010 0:16,44
1/1/2010 0:17,43.9
1/1/2010 0:18,43.9
1/1/2010 0:19,44.1
1/1/2010 0:20,44
1/1/2010 0:21,44.2
1/1/2010 0:22,44
1/1/2010 0:23,44
1/1/2010 0:24,43.9
1/1/2010 0:25,43.8
1/1/2010 0:26,43.9
1/1/2010 0:27,44
1/1/2010 0:28,44.1
1/1/2010 0:29,44.2
1/1/2010 0:30,44.1
1/1/2010 0:31,44.2
1/1/2010 0:32,44
1/1/2010 0:33,44.1
1/1/2010 0:34,44.1
1/1/2010 0:35,44.1
1/1/2010 0:36,43.9
1/1/2010 0:37,44.1
1/1/2010 0:38,44.1
1/1/2010 0:39,44.1
1/1/2010 0:40,44
1/1/2010 0:41,44.1
1/1/2010 0:42,44
1/1/2010 0:43,44.1
1/1/2010 0:44,44.1
1/1/2010 0:45,44.1
1/1/2010 0:46,44
1/1/2010 0:47,44.1
1/1/2010 0:48,44
1/1/2010 0:49,44
1/1/2010 0:50,44
1/1/2010 0:51,43.8
1/1/2010 0:52,43.9
1/1/2010 0:53,44.1
1/1/2010 0:54,43.9
1/1/2010 0:55,44.1
1/1/2010 0:56,43.9
1/1/2010 0:57,44.1
1/1/2010 0:58,44.1
1/1/2010 0:59,43.9
1/1/2010 1:00,43.9
1/1/2010 1:00,43.9
1/1/2010 1:01,43.9
1/1/2010 1:02,44.1
1/1/2010 1:03,43.9
1/1/2010 1:04,43.9
1/1/2010 1:05,44
1/1/2010 1:06,43.8
1/1/2010 1:07,43.8
1/1/2010 1:08,43.8
