INDEX	DATE	SPOT	FUTURES	RETSPOT	RETFUTURES
0      89.01040    30243.66000    30730.00000        0.28032       -0.06506
0      89.01050    30183.79000    30730.00000       -0.19816        0.00000
0      89.01060    30209.54000    30745.00000        0.08527        0.04880
0      89.01090    30678.39000    31315.00000        1.54007        1.83698
0      89.01100    31006.51000    31570.00000        1.06387        0.81101
0      89.01110    31143.45000    31655.00000        0.44068        0.26888
0      89.01120    31143.45000    31695.00000        0.00000        0.12628
0      89.01130    31298.38000    31830.00000        0.49624        0.42503
0      89.01170    31227.52000    31725.00000       -0.22666       -0.33042
0      89.01180    31354.55000    31825.00000        0.40596        0.31471
0      89.01190    31311.40000    31675.00000       -0.13771       -0.47244
0      89.01200    31170.38000    31615.00000       -0.45140       -0.18960
0      89.01230    31332.88000    31765.00000        0.51997        0.47334
0      89.01240    31557.68000    32090.00000        0.71490        1.01794
0      89.01250    31567.79000    32090.00000        0.03203        0.00000
0      89.01260    31511.81000    32070.00000       -0.17749       -0.06234
0      89.01270    31646.13000    32190.00000        0.42535        0.37348
0      89.01300    31567.50000    31860.00000       -0.24878       -1.03045
0      89.01310    31581.30000    31940.00000        0.04371        0.25078
1      89.02010    31360.68000    31740.00000       -0.70103       -0.62814
1      89.02020    31498.30000    31810.00000        0.43787        0.22030
1      89.02030    31685.78000    31880.00000        0.59344        0.21981
1      89.02080    32065.12000    32175.00000        1.19008        0.92109
1      89.02090    32078.43000    32230.00000        0.04150        0.17079
1      89.02100    32131.99000    32220.00000        0.16683       -0.03103
1      89.02130    31985.32000    32045.00000       -0.45751       -0.54462
1      89.02140    31982.89000    32025.00000       -0.00760       -0.06243
1      89.02150    32149.48000    32192.00000        0.51952        0.52011
1      89.02160    32083.58000    32295.00000       -0.20519        0.31944
1      89.02170    32173.39000    32345.00000        0.27953        0.15470
1      89.02200    32177.08000    32405.00000        0.01147        0.18533
1      89.02210    31980.08000    32320.00000       -0.61412       -0.26265
1      89.02220    32311.93000    32460.00000        1.03233        0.43223
1      89.02230    32452.49000    32540.00000        0.43407        0.24615
1      89.02270    32285.77000    32400.00000       -0.51506       -0.43117
1      89.02280    31985.60000    32170.00000       -0.93408       -0.71241
2      89.03010    31964.30000    31930.00000       -0.06661       -0.74883
2      89.03020    32073.73000    32090.00000        0.34177        0.49984
2      89.03030    32000.10000    31940.00000       -0.22983       -0.46853
2      89.03060    31876.86000    31735.00000       -0.38587       -0.64390
2      89.03070    31937.94000    31920.00000        0.19143        0.58126
2      89.03080    31837.66000    32450.00000       -0.31448        1.52153
2      89.03090    31656.45000    32250.00000       -0.57079       -0.61824
