Period	E-YieldGap	Sub12MDiff
197901	3.238637874	-3.356131101
197902	3.706398089	-8.72494824
197903	3.971839469	-11.08561715
197904	3.889968509	-6.682483433
197905	4.173497214	-5.633978441
197906	4.674686734	-4.49380816
197907	4.516910578	-8.411150991
197908	3.758145405	-13.76512653
197909	4.051815562	-12.08640301
197910	4.067512129	-16.96408009
197911	3.130144412	-19.63185214
197912	3.375982043	-22.16241127
198001	2.215943204	-15.16307691
198002	0.66320145	-3.406503211
198003	2.226001671	-2.564060902
198004	2.914232311	-4.413722018
198005	3.564157587	-1.403332797
198006	3.296856139	-3.949494902
198007	2.028293253	2.203006114
198008	1.107060339	3.67538645
198009	0.158261546	6.160197845
198010	-0.265727974	10.80014895
198011	-2.262265099	9.775137241
198012	-1.924413752	14.20438748
198101	-1.131172762	12.54279088
198102	-1.901053149	6.859142862
198103	-2.400146711	8.537650782
198104	-2.702663398	9.410048297
198105	-3.104449147	5.198397849
198106	-2.030322953	7.027973856
198107	-2.814983589	4.058657979
198108	-2.715877436	4.044474583
198109	-2.177462504	5.034000234
198110	-2.623132188	1.490016828
198111	-1.305314439	5.133524949
198112	-1.187155624	-0.585232106
198201	-1.833355456	-0.411801754
198202	-0.851181822	1.61057281
198203	-0.632954455	-4.372144629
198204	-1.151861309	-6.486655852
198205	-0.383496215	-1.3164026
198206	-1.372346486	-3.671842755
198207	-0.718139315	-9.084261695
198208	-1.2032518	-1.151987812
198209	-1.080243093	0.359070746
198210	-0.769397257	2.111725264
198211	-0.762935096	7.204384494
198212	-1.55322526	12.79264598
198301	-1.761444597	12.33883503
198302	-2.18359574	17.73865876
198303	-2.390883652	20.19246507
198304	-2.846782745	18.02220397
198305	-2.732361772	15.27989746
198306	-3.361450333	14.08443547
198307	-3.635782519	14.71320462
198308	-4.19245729	12.14869064
198309	-3.641930859	10.23490345
198310	-3.408541254	13.7740208
198311	-3.697812335	9.875771455
198312	-3.323967167	11.14269112
198401	-3.084845894	11.05307651
198402	-2.9077451	1.685584904
198403	-2.733996402	0.01910972
198404	-3.096103725	2.366663278
198405	-3.27449614	5.685118832
198406	-2.984865751	6.064715681
198407	-2.607981471	9.408379913
198408	-3.001383141	8.788985247
198409	-2.550709578	9.021007102
198410	-2.190109673	4.644681093
198411	-1.447129333	6.749068266
198412	-1.550829179	0.765437968
198501	-2.117074391	-1.33735342
198502	-2.32631914	2.064635936
198503	-2.78826671	1.257954923
198504	-2.3163963	-2.597367737
198505	-2.203736025	-9.565598522
198506	-2.023956217	-10.41544455
198507	-2.134324638	-11.7414103
198508	-2.055070185	-7.206574278
198509	-2.006093881	-2.807939055
198510	-2.217136353	2.007880748
198511	-2.247230907	0.163817455
198512	-2.345479299	3.760772593
198601	-2.291804072	4.619554733
198602	-2.262048577	1.199900459
198603	-1.702561963	-4.227008377
198604	-1.135343165	-1.230177937
198605	-1.840180054	2.672644643
198606	-1.936102755	2.537438043
198607	-1.070540429	3.848923126
198608	-1.354556968	-0.389036624
198609	-1.030753724	-7.66934353
198610	-1.3438453	-11.73792141
198611	-1.291810122	-4.046667328
198612	-1.131142484	-1.83094815
198701	-1.797232958	-4.818300859
198702	-2.155347774	3.914648445
198703	-2.073790708	7.512792518
198704	-2.783834396	7.767189767
198705	-3.405240399	8.466795873
198706	-3.656908003	10.84148332
198707	-3.925113397	10.08986987
198708	-4.387953847	11.76626256
198709	-4.4922408	13.17273708
198710	-3.221497408	11.78256695
198711	-1.973764614	11.19488946
198712	-1.907273373	10.4048359
198801	-1.862511002	11.90052348
198802	-1.675756297	4.458855841
198803	-1.189731557	6.112031488
198804	-1.606771107	4.531686017
198805	-1.999293756	0.911564922
198806	-0.997151339	-2.027783712
198807	-1.094038313	-0.571383387
198808	-0.974205529	-6.914065721
198809	-0.620985622	-8.55354266
198810	-0.65253216	-7.749638176
198811	-0.65565484	-10.12769262
198812	-0.558220328	-13.25349905
198901	-1.106000827	-10.73407762
198902	-0.948020065	-6.974464463
198903	-0.895588436	-6.034291626
198904	-1.119346243	-9.274437968
198905	-1.072961087	-9.517108235
198906	-0.348687493	-11.56531158
198907	-0.732668152	-15.76093747
198908	-0.934017793	-11.12136564
198909	-1.405236435	-9.823280927
198910	-1.05001502	-7.579199806
198911	-1.023271473	-7.675729525
198912	-1.368864076	-6.520656482
199001	-1.260626117	-7.83363697
199002	-1.579465353	-11.5903622
199003	-2.215345089	-15.64945884
199004	-2.239210712	-15.11725103
