period       eyield          ycurve         rbond         vret         gret    vgspread
197901       3.3986          -0.250        -0.078         5.50         3.46    -3.356   
197902       3.8064          -0.220        -0.280        -2.14        -3.40    -8.725   
197903       4.0618          -0.360        -0.827         5.96         6.53    -11.086  
197904       3.9900          -0.280        -1.015         0.47         0.64   6.682     
197905       4.2335          -0.360        -1.295        -1.13        -1.61    -5.634   
197906       4.6647          -0.150        -1.933         5.35         3.86    -4.494   
197907       4.5369          -0.290        -1.960         1.70         0.92    -8.411   
197908       3.8081          -0.490        -2.283         5.63         7.18    -13.765  
197909       4.2118          -0.930        -2.648         0.49         0.05    -12.086  
197910       4.5175          -1.400        -2.330        -7.68        -5.98    -16.964  
197911       3.4801          -1.140        -1.772         4.25         7.58    -19.632  
197912       3.6460          -1.650        -2.491         1.34         3.37   -22.162   
198001       2.4159          -1.200        -2.694         4.92         7.39    -15.163  
198002       0.9432          -0.450        -1.779         0.03         0.37    -3.407   
198003       2.6360          -2.450        -1.842       -10.45       -12.11   -2.564    
198004       2.9842          -1.730        -3.356         5.43         4.35    -4.414   
198005       3.3842           1.600        -4.371         6.82         4.93    -1.403   
198006       3.2669           2.710        -4.596         2.53         4.52    -3.949   
198007       2.0383           2.190        -4.145         4.93         8.31    2.203    
198008       1.2071           1.970        -2.133         1.51         2.07    3.675    
198009       0.3283           1.240        -1.533         1.21         4.59    6.16     
198010      -0.1057           0.130        -1.011         0.73         3.39    10.8    
198011      -1.9523          -1.050        -0.396         8.29        13.07    9.775   
198012      -1.4844          -2.650        -0.248        -2.50        -4.75    14.204  
198101      -0.7012          -2.450        -0.376        -1.40        -7.43    12.543  
198102      -1.5111          -1.600         0.975         1.92         1.51   6.859   
198103      -1.9701          -0.240         1.283         4.48         3.58    8.538   
198104      -2.2227          -0.010         2.713        -0.23        -3.27    9.41    
198105      -2.6044          -2.200         3.600         0.75         1.03    5.198   
198106      -1.5203          -1.260         3.180         0.59        -2.42    7.028   
198107      -2.1250          -0.670         4.037        -0.84         0.90    4.059    
198108      -1.9459          -0.570         3.408        -4.49        -6.44    4.044   
198109      -1.5275           0.620         3.866        -5.11        -7.09    5.034   
198110      -2.1531           1.610         3.728         3.63         7.89    1.49    
198111      -1.2653           2.530         3.208         5.22         4.23    5.134   
198112      -0.9172           2.870         3.859        -2.68        -3.14    -0.585  
198201      -1.4634           2.310         5.298        -2.41        -2.57    -0.412  
198202      -0.6412           0.950         5.829        -3.79        -6.42    1.611   
198203      -0.3030           1.180         5.908         0.25        -2.09    -4.372   
198204      -0.6519           1.170         6.590         2.98         5.21    -6.487  
198205      -0.0035           1.530         6.730        -1.69        -3.64    -1.316  
198206      -0.9923           1.830         7.238        -2.43        -2.16    -3.672  
198207      -0.3181           2.600         6.486        -2.89        -1.27    -9.084  
198208      -0.9133           4.380         6.329        13.67        11.10    -1.152  
198209      -0.8102           4.420         6.220         0.71         2.24    0.359   
198210      -1.0294           3.200         6.127        11.09        12.13    2.112   
198211      -0.7529           2.480         5.401         2.66         6.89    7.204   
198212      -1.5532           2.600         5.951         1.85         1.20    12.793  
198301      -1.9314           2.600         6.800         4.37         2.54    12.339  
198302      -2.3436           2.610         7.168         1.96         3.66    17.739  
198303      -2.5109           2.160         7.142         4.05         2.98    20.192  
198304      -2.9268           2.190         6.882         8.03         6.46    18.022  
198305      -2.8824           2.190         6.631         0.72         0.22    15.28   
198306      -3.4415           2.060         7.381         2.19         5.77    14.084  
198307      -3.6558           2.300         8.823        -1.60        -4.68    14.713  
198308      -4.1625           2.510         9.358         2.68        -0.60    12.149  
198309      -3.6219           2.650         9.071         1.53         1.85    10.235  
198310      -3.4485           2.900         8.720        -0.55        -3.74    13.774  
198311      -3.7578           2.930         8.899         2.88         2.32    9.876   
198312      -3.3740           2.830         8.615        -0.70        -1.22    11.143   
198401      -3.1648           2.770         7.959         1.66        -5.18    11.053  
198402      -3.0177           2.750         7.758        -3.17        -4.78    1.686   
198403      -2.7940           2.800         7.783         1.20         1.85    0.019    
198404      -3.1161           2.940         7.849         0.42         0.57    2.367   
198405      -3.2945           3.580         8.866        -5.22        -5.37    5.685   
198406      -2.8649           3.690         9.206         1.23         3.84    6.065   
198407      -2.4580           3.240         8.989        -1.49        -1.69   9.408    
198408      -2.8214           2.250         8.336        11.61        11.40    8.789   
198409      -2.3207           2.150         7.999         1.67        -1.65    9.021   
198410      -2.0101           2.420         7.710        -0.09         0.71    4.645   
198411      -1.4371           2.960         7.303         0.10        -2.02    6.749   
198412      -1.5708           3.440         7.469         2.61         2.55    0.765   
198501      -2.1871           3.620         7.501         6.89         9.21    -1.337  
198502      -2.2863           3.240         7.937         1.74         1.50    2.065   
198503      -2.7383           3.340         8.294         0.59        -0.72    1.258   
198504      -2.3564           3.480         7.766         1.13        -1.51    -2.597  
198505      -2.4037           3.370         7.364         5.97         6.04    -9.566  
198506      -2.3140           3.210         6.678         1.90         1.90    -10.415  
198507      -2.3243           3.230         6.739        -0.75        -0.42    -11.741 
198508      -2.2851           3.190         7.006         0.24        -0.92    -7.207  
198509      -2.2461           3.270         7.261        -3.72        -3.53   -2.808  
198510      -2.4771           3.080         7.357         5.14         4.32    2.008   
198511      -2.5272           2.540         6.831         5.53         8.62    0.164   
198512      -2.6255           2.160         6.026         3.57         5.18    3.761   
198601      -2.5018           2.120         5.601         1.34         0.81    4.62    
198602      -2.4920           1.640         5.044         7.44         7.95   1.2      
198603      -1.8826           1.220         4.847         4.62         6.21    -4.227  
198604      -1.2253           1.240         5.134        -2.29         0.13    -1.23   
198605      -1.6502           1.560         5.930         5.00         5.77    2.673   
198606      -1.7061           1.590         6.079         1.15         2.16    2.537   
198607      -1.0405           1.470         5.504        -4.30        -6.86   3.849   
198608      -1.5146           1.640         5.753         9.67         4.61    -0.389  
198609      -1.2008           2.240         6.046        -6.83        -9.90    -7.669  
198610      -1.6138           2.250         5.946         5.10         5.75    -11.738 
